GPU,price
1 x V100,3.06
2 x V100,6.12
4 x V100,12.24
1 x A100,4.09625
2 x A100,8.1925
4 x A100,16.385
1 x H100,12.29
2 x H100,24.58
4 x H100,49.16
1 x A10,2.448
2 x A10,4.896
1 x T4,2.176
2 x T4,2.754666667
4 x T4,3.912

